,recp_id,zinc_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm,pair_chains_iptm,affinity_pred_value,affinity_probability_binary,affinity_pred_value1,affinity_probability_binary1,affinity_pred_value2,affinity_probability_binary2
30,0,ZINClF000003jRTM,0.9566483,0.9481557,0.9646466,0.9646466,0,0.9546487,0.95481974,0.3246032,0.44846404,[0.9489234  0.92202747],"[array([0.9489234, 0.6860559], dtype=float32)
 array([0.9646466 , 0.92202747], dtype=float32)]",0.13260037,0.33519322,-0.285137,0.50637925,0.55033773,0.16400722
31,0,ZINCn8000000pC1c,0.89985627,0.9370826,0.8591012,0.8591012,0,0.910045,0.76248825,0.4530772,1.021238,[0.9473905  0.83301574],"[array([0.9473905 , 0.39267504], dtype=float32)
 array([0.8591012 , 0.83301574], dtype=float32)]",0.8079815,0.0905983,0.2604675,0.11930207,1.3554955,0.06189452
32,0,ZINCip00000y7yty,0.91544884,0.947722,0.8717649,0.8717649,0,0.92636985,0.80883783,0.38871828,0.9302403,[0.9563505 0.8253234],"[array([0.9563505 , 0.33804628], dtype=float32)
 array([0.8717649, 0.8253234], dtype=float32)]",-0.45153594,0.7116127,-0.5174672,0.9124117,-0.3856047,0.5108137
33,0,ZINCjs00000bHgz4,0.93620414,0.9583972,0.94833446,0.94833446,0,0.93317163,0.83649045,0.32579648,0.5439867,[0.9603078 0.9135049],"[array([0.9603078, 0.5551192], dtype=float32)
 array([0.94833446, 0.9135049 ], dtype=float32)]",0.14362475,0.5740592,0.1916998,0.78680074,0.0955497,0.3613176
34,0,ZINCmF0000027zFr,0.95456547,0.9582357,0.97005075,0.97005075,0,0.9506941,0.92518216,0.30309212,0.41862047,[0.9578576  0.87882644],"[array([0.9578576, 0.6156666], dtype=float32)
 array([0.97005075, 0.87882644], dtype=float32)]",-1.4860739,0.8682704,-1.9906198,0.9921171,-0.981528,0.7444237
35,0,ZINCon00000qn4ST,0.95388156,0.95968634,0.9674596,0.9674596,0,0.9504871,0.92551136,0.3074769,0.4389657,[0.9594436 0.9535269],"[array([0.9594436 , 0.68995357], dtype=float32)
 array([0.9674596, 0.9535269], dtype=float32)]",0.40084988,0.26386786,-0.08556025,0.34703773,0.88726,0.18069798
36,0,ZINClx000001IBD6,0.93636984,0.95195377,0.9545756,0.9545756,0,0.9318183,0.84036547,0.32607722,0.5270503,[0.9528779 0.8501255],"[array([0.9528779 , 0.50923955], dtype=float32)
 array([0.9545756, 0.8501255], dtype=float32)]",0.0235997,0.53054065,-0.2714015,0.68553805,0.3186009,0.3755432
37,0,ZINCks000003pnKn,0.9548149,0.9528707,0.9525998,0.9525998,0,0.9553687,0.9555429,0.33711565,0.5353702,[0.9539023  0.89344496],"[array([0.9539023 , 0.56368995], dtype=float32)
 array([0.9525998 , 0.89344496], dtype=float32)]",0.5223438,0.5850581,0.3916098,0.7887281,0.65307784,0.38138807
38,0,ZINCoM000005lNXy,0.9544098,0.95123714,0.96730566,0.96730566,0,0.9511859,0.9387477,0.32313842,0.44527838,[0.9502994 0.9432082],"[array([0.9502994 , 0.61564434], dtype=float32)
 array([0.96730566, 0.9432082 ], dtype=float32)]",-1.5871735,0.8457092,-2.1781797,0.9962948,-0.99616724,0.6951237
39,0,ZINCmp0000085yKU,0.94413567,0.95993733,0.96675813,0.96675813,0,0.9384801,0.88962775,0.31076282,0.438221,[0.95959604 0.9149757 ],"[array([0.95959604, 0.58839244], dtype=float32)
 array([0.96675813, 0.9149757 ], dtype=float32)]",0.14253779,0.4764813,-0.26252547,0.749146,0.54760104,0.20381658
40,0,ZINCoG000003hTjB,0.9559232,0.95721567,0.9653971,0.9653971,0,0.9535547,0.9501647,0.31719756,0.43526834,[0.95688295 0.89534086],"[array([0.95688295, 0.74784666], dtype=float32)
 array([0.9653971 , 0.89534086], dtype=float32)]",-0.7938603,0.79354477,-1.0657994,0.94523764,-0.5219212,0.64185184
41,0,ZINCjo000003HE5k,0.9532753,0.95140463,0.96268505,0.96268505,0,0.95092285,0.9421879,0.32905245,0.47092006,[0.95085734 0.9105267 ],"[array([0.95085734, 0.535687  ], dtype=float32)
 array([0.96268505, 0.9105267 ], dtype=float32)]",-0.17038065,0.4295274,-0.64375335,0.53531593,0.30299205,0.3237389
42,0,ZINCnx000002upQj,0.9323527,0.957752,0.95247734,0.95247734,0,0.92732155,0.8404926,0.32821354,0.52465034,[0.9597514 0.8519955],"[array([0.9597514, 0.5319941], dtype=float32)
 array([0.95247734, 0.8519955 ], dtype=float32)]",-0.39219797,0.6696772,-1.1471893,0.8584236,0.36279333,0.48093078
43,0,ZINCoz000003zFE6,0.8936197,0.9412818,0.87394834,0.87394834,0,0.8985375,0.7188197,0.450801,0.99719745,[0.9511904 0.7847329],"[array([0.9511904 , 0.36057866], dtype=float32)
 array([0.87394834, 0.7847329 ], dtype=float32)]",-0.101126276,0.7813107,-0.34304696,0.8521756,0.14079441,0.71044576
44,0,ZINCkF000002nMxP,0.92570275,0.94182855,0.9346497,0.9346497,0,0.923466,0.8367866,0.37225085,0.64009,[0.94370955 0.8738172 ],"[array([0.94370955, 0.46863306], dtype=float32)
 array([0.9346497, 0.8738172], dtype=float32)]",0.20209922,0.54576826,0.38264877,0.65189415,0.021549676,0.43964234
45,0,ZINCou0000007UdW,0.94666874,0.95205635,0.93870044,0.93870044,0,0.9486608,0.91931933,0.34898275,0.6005088,[0.95483917 0.8581837 ],"[array([0.95483917, 0.6033087 ], dtype=float32)
 array([0.93870044, 0.8581837 ], dtype=float32)]",-0.7474835,0.7297442,-1.5915779,0.92970896,0.09661091,0.5297795
46,0,ZINCpJ000001XZKl,0.9571905,0.96771854,0.97081184,0.97081184,0,0.9537852,0.9392273,0.29440755,0.4177131,[0.9682385 0.9294428],"[array([0.9682385, 0.7213719], dtype=float32)
 array([0.97081184, 0.9294428 ], dtype=float32)]",-1.2176448,0.80699855,-1.7659259,0.94747454,-0.6693637,0.66652256
47,0,ZINCoG000003RAxv,0.94780177,0.9471916,0.94444346,0.94444346,0,0.94864136,0.9135272,0.35241097,0.5883011,[0.94872826 0.8216968 ],"[array([0.94872826, 0.5193454 ], dtype=float32)
 array([0.94444346, 0.8216968 ], dtype=float32)]",-0.16100165,0.62496305,-0.45972952,0.6925396,0.1377262,0.55738646
48,0,ZINCnv00000mNUJ1,0.9466049,0.96053433,0.95882726,0.95882726,0,0.9435493,0.91009074,0.3137908,0.48927185,[0.96296394 0.9385237 ],"[array([0.96296394, 0.6496744 ], dtype=float32)
 array([0.95882726, 0.9385237 ], dtype=float32)]",0.44010386,0.22446606,-0.001895666,0.19738632,0.8821034,0.2515458
